,0,1
0,0.001,37029508.001
2,561644.0009999999,5610221.001
3,805464.0009999999,5360419.001
4,1181516.001,5885785.001
5,1602545.001,6405474.001
6,2071116.001,6900863.001
7,1004766.0009999999,2876606.001
8,1440376.001,3587991.001
9,1418607.001,3163797.001
10,1421880.001,2850168.001
11,1351779.001,2464520.001
12,1202316.001,2007171.001
13,980525.0009999999,1502566.001
14,963760.0009999999,1384021.001
15,854730.0009999999,1137432.001
16,757968.0009999999,946086.0009999999
17,653378.0009999999,767593.0009999999
18,547920.0009999999,617158.0009999999
19,466013.001,486677.001
20,408020.001,408140.001
21,337953.001,322431.001
22,279334.001,253750.001
23,232277.001,203136.001
24,180912.001,150310.001
25,2625.001,1979.001
26,119548.001,92528.001
27,90936.001,65339.001000000004
28,69216.001,49017.001000000004
29,29.001,0.001
30,37560.001000000004,24420.001
31,31.001,0.001
32,32.001,0.001
33,14421.001,8658.001
34,7106.001,4376.001
35,35.001,0.001
36,3888.001,1966.001
37,1443.001,883.001
38,1482.001,766.001
39,1560.001,973.001
40,920.001,296.001
41,41.001,0.001
42,462.001,315.001
43,301.001,97.001
44,44.001,0.001
45,45.001,0.001
46,92.001,44.001000000000005
47,47.001,8.001
48,48.001,0.001
49,49.001,0.001
50,0.001,10.001000000000001
51,51.001,0.001
54,54.001,0.001
56,0.001,2.001
58,58.001,0.001
